0,0.015,0.6,0.015,6
0.099,0.015,0.63,0.015,6.3
0.199,0.015,0.66,0.015,6.6
0.299,0.015,0.69,0.015,6.9
0.4,0.015,0.72,0.015,7.2
0.499,0.015,0.75,0.015,7.5
0.599,0.015,0.78,0.015,7.8
0.699,0.015,0.805,0.015,8.05
0.799,0.015,0.835,0.015,8.35
0.899,0.015,0.87,0.015,8.7
0.999,0.015,0.895,0.015,8.95
1.1,0.015,0.925,0.015,9.25
1.199,0.03,0.955,0.03,9.55
1.299,0.03,0.985,0.03,9.85
1.399,0.03,1.015,0.03,10.15
1.499,0.03,1.045,0.03,10.45
1.599,0.03,1.075,0.03,10.75
1.699,0.03,1.1,0.03,11
1.799,0.045,1.13,0.045,11.3
1.9,0.045,1.16,0.045,11.6
2,0.045,1.19,0.045,11.9
2.1,0.06,1.22,0.06,12.2
2.199,0.06,1.25,0.06,12.5
2.3,0.075,1.28,0.075,12.8
2.4,0.075,1.31,0.075,13.1
2.5,0.09,1.34,0.09,13.4
2.6,0.105,1.37,0.105,13.7
2.7,0.105,1.4,0.105,14
2.8,0.12,1.43,0.12,14.3
2.9,0.15,1.455,0.15,14.55
3,0.15,1.485,0.15,14.85
3.1,0.18,1.515,0.18,15.15
3.2,0.195,1.545,0.195,15.45
3.299,0.225,1.575,0.225,15.75
3.4,0.24,1.605,0.24,16.05
3.5,0.27,1.635,0.27,16.35
3.6,0.3,1.665,0.3,16.65
3.7,0.33,1.69,0.33,16.9
3.8,0.375,1.72,0.375,17.2
3.9,0.405,1.75,0.405,17.5
4,0.45,1.78,0.45,17.8
4.1,0.48,1.81,0.48,18.1
4.2,0.495,1.84,0.495,18.4
4.3,0.48,1.87,0.48,18.7
4.4,0.465,1.9,0.465,19
4.5,0.45,1.93,0.45,19.3
4.6,0.42,1.96,0.42,19.6
4.7,0.375,1.985,0.375,19.85
4.8,0.33,2.015,0.33,20.15
4.9,0.285,2.045,0.285,20.45
5,0.225,2.075,0.225,20.75
5.1,0.18,2.105,0.18,21.05
5.2,0.135,2.135,0.135,21.35
5.3,0.105,2.165,0.105,21.65
5.4,0.06,2.195,0.06,21.95
5.5,0.045,2.22,0.045,22.2
5.6,0.015,2.25,0.015,22.5
5.7,0,2.28,0,22.8
5.8,-0.015,2.31,-0.015,23.1
5.9,-0.03,2.34,-0.03,23.4
6.002,-0.045,2.37,-0.045,23.7
6.1,-0.045,2.4,-0.045,24
6.2,-0.06,2.425,-0.06,24.25
6.3,-0.06,2.455,-0.06,24.55
6.4,-0.075,2.485,-0.075,24.85
6.5,-0.075,2.515,-0.075,25.15
6.6,-0.075,2.545,-0.075,25.45
6.7,-0.075,2.57,-0.075,25.7
6.8,-0.075,2.6,-0.075,26
6.9,-0.075,2.63,-0.075,26.3
7,-0.015,2.66,-0.015,26.6
7.1,0.195,2.69,0.195,26.9
7.2,0.51,2.72,0.51,27.2
7.3,0.75,2.75,0.75,27.5
7.4,0.945,2.775,0.945,27.75
7.5,1.14,2.805,1.14,28.05
7.6,1.335,2.835,1.335,28.35
7.7,1.575,2.865,1.575,28.65
7.8,1.815,2.895,1.815,28.95
7.9,2.04,2.925,2.04,29.25
8,2.235,2.955,2.235,29.55
8.1,2.43,2.985,2.43,29.85
8.2,2.625,3.01,2.625,30.1
8.3,2.805,3.04,2.805,30.4
8.4,2.985,3.07,2.985,30.7
8.5,3.165,3.1,3.165,31
8.6,3.33,3.13,3.33,31.3
8.7,3.495,3.16,3.495,31.6
8.8,3.66,3.19,3.66,31.9
8.9,3.825,3.215,3.825,32.15
9,3.99,3.245,3.99,32.45
9.1,4.155,3.275,4.155,32.75
9.2,4.305,3.305,4.305,33.05
9.299,4.455,3.335,4.455,33.35
9.399,4.62,3.36,4.62,33.6
9.5,4.77,3.39,4.77,33.9
9.599,4.92,3.42,4.92,34.2
9.699,5.055,3.45,5.055,34.5
9.799,5.19,3.48,5.19,34.8
9.899,5.295,3.51,5.295,35.1
10,5.34,3.535,5.34,35.35
